         179462 function calls (179405 primitive calls) in 0.777 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/hazmat/backends/openssl/decode_asn1.py:355(_decode_authority_key_identifier)
        2    0.000    0.000    0.000    0.000 {built-in method _openssl.SSL_new}
       75    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/idna/core.py:60(valid_string_length)
       10    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       76    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/x509/extensions.py:1204(<genexpr>)
       22    0.000    0.000    0.000    0.000 /usr/lib/python3.8/enum.py:562(__new__)
       11    0.000    0.000    0.000    0.000 /usr/lib/python3.8/queue.py:121(put)
      7/3    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:174(getwidth)
       17    0.000    0.000    0.000    0.000 {method 'new' of 'CompiledFFI' objects}
        1    0.000    0.000    0.001    0.001 /home/se/.local/lib/python3.8/site-packages/urllib3/util/ssl_.py:220(create_urllib3_context)
       22    0.000    0.000    0.000    0.000 /usr/lib/python3.8/enum.py:283(__call__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:969(get_data)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_compile.py:276(_optimize_charset)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3/dist-packages/requests/adapters.py:255(build_response)
       22    0.000    0.000    0.000    0.000 /usr/lib/python3.8/threading.py:341(notify)
        2    0.000    0.000    0.001    0.001 /home/se/.local/lib/python3.8/site-packages/urllib3/_collections.py:91(clear)
       29    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/http/cookiejar.py:1483(_cookie_from_cookie_tuple)
       21    0.000    0.000    0.000    0.000 /usr/lib/python3.8/email/feedparser.py:78(readline)
        1    0.000    0.000    0.047    0.047 /home/se/.local/lib/python3.8/site-packages/urllib3/contrib/pyopenssl.py:465(wrap_socket)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/urllib3/response.py:193(__init__)
       18    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/urllib3/_collections.py:214(add)
       26    0.000    0.000    0.013    0.001 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:1767(find_all)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/weakref.py:159(__setitem__)
        2    0.000    0.000    0.001    0.000 /usr/lib/python3.8/encodings/__init__.py:70(search_function)
       30    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/requests/structures.py:46(__setitem__)
        2    0.000    0.000    0.001    0.000 /usr/lib/python3.8/http/cookiejar.py:1677(extract_cookies)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/email/feedparser.py:139(__init__)
       41    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:233(__next)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3/dist-packages/OpenSSL/SSL.py:1170(set_cipher_list)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/http/cookiejar.py:143(_str2time)
        2    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/urllib3/util/url.py:336(parse_url)
       24    0.000    0.000    0.002    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:1742(find)
       50    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:164(__getitem__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/enum.py:869(_decompose)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.8/http/cookiejar.py:613(request_host)
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.8/urllib/parse.py:858(quote_from_bytes)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_compile.py:536(_compile_info)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/hazmat/backends/openssl/decode_asn1.py:645(_decode_precert_signed_certificate_timestamps)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.8/http/cookiejar.py:1386(_normalized_cookie_tuples)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.8/enum.py:827(__or__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/http/cookiejar.py:1008(set_ok_domain)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/OpenSSL/crypto.py:1092(_from_raw_x509_ptr)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/x509/extensions.py:1213(get_values_for_type)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/http/cookiejar.py:225(http2time)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/http/cookiejar.py:754(__init__)
       24    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/requests/structures.py:51(__getitem__)
        1    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/urllib3/response.py:569(from_httplib)
        3    0.000    0.000    0.001    0.000 /usr/lib/python3.8/sre_compile.py:759(compile)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/email/feedparser.py:101(push)
        1    0.000    0.000    0.048    0.048 /home/se/.local/lib/python3.8/site-packages/urllib3/util/connection.py:33(create_connection)
       26    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:2162(__init__)
        2    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        1    0.000    0.000    0.001    0.001 /home/se/.local/lib/python3.8/site-packages/urllib3/contrib/pyopenssl.py:443(set_ciphers)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/OpenSSL/SSL.py:303(__init__)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3/dist-packages/cryptography/hazmat/backends/openssl/decode_asn1.py:436(_decode_subject_alt_name)
       42    0.000    0.000    0.000    0.000 {method 'string' of 'CompiledFFI' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/hazmat/backends/openssl/decode_asn1.py:514(_decode_extended_key_usage)
