         179518 function calls (179461 primitive calls) in 5.828 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       16    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/hazmat/backends/openssl/decode_asn1.py:22(_obj2txt)
      244    0.000    0.000    0.000    0.000 {built-in method unicodedata.normalize}
       42    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/OpenSSL/_util.py:72(native)
      320    0.000    0.000    0.000    0.000 /usr/lib/python3.8/os.py:693(__iter__)
       33    0.000    0.000    0.154    0.005 /usr/lib/python3/dist-packages/requests/models.py:746(generate)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/http/cookiejar.py:459(parse_ns_headers)
       22    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
        2    0.000    0.000    0.001    0.001 /usr/lib/python3.8/http/cookiejar.py:1596(make_cookies)
        1    0.000    0.000    0.000    0.000 {built-in method _openssl.SSL_write}
        1    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/urllib3/response.py:193(__init__)
        1    0.000    0.000    0.081    0.081 /home/se/.local/lib/python3.8/site-packages/bs4/__init__.py:115(__init__)
       18    0.000    0.000    0.000    0.000 /usr/lib/python3.8/email/_policybase.py:293(header_source_parse)
       92    0.000    0.000    0.000    0.000 /usr/lib/python3.8/types.py:171(__get__)
        1    0.000    0.000    0.000    0.000 {function socket.close at 0x7f4e71378670}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/OpenSSL/SSL.py:1542(__init__)
      171    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/utils.py:42(<lambda>)
        6    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/urllib3/util/url.py:210(_encode_invalid_chars)
        1    0.000    0.000    0.434    0.434 /usr/lib/python3.8/http/client.py:300(begin)
        1    0.000    0.000    0.000    0.000 {built-in method today}
       21    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/OpenSSL/SSL.py:700(__init__)
       26    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:1905(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/email/feedparser.py:139(__init__)
      244    0.000    0.000    0.000    0.000 {built-in method unicodedata.category}
       75    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/x509/general_name.py:152(_init_without_validation)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.8/_collections_abc.py:824(update)
      702    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        2    0.000    0.000    0.001    0.001 /usr/lib/python3.8/http/cookiejar.py:942(set_ok)
